사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,합계
202501,공항철도 1호선,계양,72,0,12139,657,31541,2988,61766,4629,47236,6297,30646,5898,22434,5034,19759,6345,19333,7156,16606,9709,14368,11827,13199,15034,13956,22359,13025,28723,9920,52757,6473,48175,4449,29117,3851,26555,2489,25145,1257,15220,205,4944,3,37,0,0,0,0,20250203,673333
202501,공항철도 1호선,공덕,78,0,1976,199,2561,1550,5849,3436,6611,10897,4291,5799,3727,3617,4066,3999,4069,4506,3856,4915,3629,4573,3797,5277,4708,6355,6416,8939,9587,13059,4601,8527,3573,6054,3461,5716,2738,5479,1416,3630,86,1661,0,12,0,3,0,0,20250203,189299
202501,공항철도 1호선,공항화물청사,4,0,620,803,1466,7072,1941,10133,2009,16402,1779,2808,745,2099,597,3351,964,3194,1124,2150,1764,1467,2758,1295,4561,1753,9532,2199,11836,1060,2961,1329,1940,1925,2497,796,2194,341,608,164,6,70,0,0,0,2,0,0,20250203,112319
202501,공항철도 1호선,김포공항,17,0,1655,2160,2502,10317,5027,17211,10843,15760,16221,10209,17138,8900,15430,9594,12320,10989,16298,11117,18404,9402,17487,8401,16206,9574,18268,12222,26583,9443,15830,5440,13903,2470,15650,1322,17107,1192,5145,883,147,634,2,50,3,5,0,0,20250203,419481
202501,공항철도 1호선,디지털미디어시티,117,10,3559,662,7685,6712,18691,27749,21062,73841,11659,33134,9229,13403,10152,10952,11346,11046,12459,11418,12267,9897,15225,10749,19020,12448,43371,18531,69808,25890,27622,17894,16749,10889,15029,9854,11325,8901,5501,5776,611,2764,5,29,0,6,0,0,20250203,665047
202501,공항철도 1호선,마곡나루(서울식물원),46,0,2618,883,4886,10595,11290,32717,13740,61242,7065,27121,5128,10344,6408,7334,7516,8401,7757,10153,8354,9398,12002,6654,20458,8092,58807,13033,49551,17854,18343,10438,12030,6546,11169,6315,10242,6080,2246,3839,388,2678,1,43,0,3,0,0,20250203,529808
202501,공항철도 1호선,서울역,264,2,2898,1769,3776,13308,10589,19939,14490,29514,14505,26342,17854,21966,20688,23198,25090,23382,26203,21932,20639,19179,27448,21904,29199,21574,34764,22242,34131,22400,26412,20769,21045,13209,22859,11755,16535,8626,9840,4087,569,2857,38,8,0,23,0,0,20250203,729821
202501,공항철도 1호선,영종,5,0,3132,160,9852,1461,14647,2435,10807,3379,8268,2852,8273,2681,8952,3807,7941,4019,6619,3929,5855,5636,5985,7952,6237,8082,6065,8373,4140,14476,2760,13523,2173,8324,2036,8479,1648,8221,792,6773,152,2320,0,11,0,0,0,0,20250203,233232
202501,공항철도 1호선,운서,207,9,17889,999,20731,7132,28883,10666,25134,12564,14457,10761,15595,6247,19441,7140,18173,9553,14265,10615,12417,13669,13281,15408,15018,17657,16729,22183,12922,32573,7698,26470,6546,23593,6708,21871,5741,23066,2359,16328,325,5147,8,33,0,0,0,0,20250203,568211
202501,공항철도 1호선,인천공항1터미널,0,0,7903,11896,12148,20054,15918,35368,18416,32215,15027,25478,13462,26705,18824,33471,24607,39182,25291,27419,29673,24668,38152,22013,31072,23595,30413,26115,35056,19511,23942,18614,24376,11260,27707,9855,28642,6280,13058,6999,180,5673,28,51,0,38,0,0,20250203,860355
